bairro;setor_territorial;loteamentos;fonte;snapshot
Morada da Colina;Sul;Jardim Altamira - Altamira II (parte) | Patrimônio da Nossa Senhora da Abadia (parte)** | Jardim da Colina | Jardim da Colina B | Morada da Colina II | Morada da Colina - Partes I e II | Gávea | Reserva do Vale | Villaggio da Colina | Gávea Hill 1 e 2 | Vale dos Vinhedos | Morada da | Colina14 | Morada dos | Pássaros¹²;https://web.archive.org/web/2/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf;https://web.archive.org/web/20240906061623/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf
Morada do Sol;Oeste;Condomínio Morada do Sol;https://web.archive.org/web/2/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf;https://web.archive.org/web/20240906061623/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf
Morada dos Pássaros;Leste;Sítios de Recreio Morada dos Pássaros (parte)* | Jardim Ipanema II (parte) | Sítios de Recreio Quintas do Bosque I | Sítios de Recreio Quintas do Bosque II (parte) | Comercial aeroporto (Reloteamento) | Quintas do Bosque II;https://web.archive.org/web/2/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf;https://web.archive.org/web/20240906061623/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf
Morumbi;Leste;Santa Mônica II – Setor A | Santa Mônica II – Setor B | Santa Mônica II – Setor C | Paz – Morumbi | Zaire Rezende;https://web.archive.org/web/2/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf;https://web.archive.org/web/20240906061623/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf
Nossa Senhora Aparecida;Central;Fluminense (parte)* | Aparecida | Vila Brasil (parte)* | Vila Esplanada* | Vila Oriente* | São Pedro* | Vila Santa Terezinha (parte)* | Vila Operária* | Nossa Senhora | (continuação);https://web.archive.org/web/2/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf;https://web.archive.org/web/20240906061623/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf
Nossa Senhora das Graças;Norte;Jardim América I (parte) | Nossa Senhora das Graças (parte) | Cruzeiro do Sul;https://web.archive.org/web/2/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf;https://web.archive.org/web/20240906061623/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf
Novo Mundo;Leste;Conjunto Alvorada (Pertencia ao extinto Bairro Nova | Alvorada)*** | Residencial Alvorada 4 (Pertencia ao extinto Bairro | Nova Alvorada)*** | Bem viver | Vida Nova | Reserva dos Ipês | Verde Vida;https://web.archive.org/web/2/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf;https://web.archive.org/web/20240906061623/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf
Nova Uberlândia;Sul;Nova Uberlândia (parte) | Jardins Barcelona (parte) | Jardins Roma | Jardins Gênova | Jardim Versalles;https://web.archive.org/web/2/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf;https://web.archive.org/web/20240906061623/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf
Osvaldo Rezende;Central;Vila de Fátima I (parte)* | Vila de Fátima II (parte)* | Vila Osvaldo (parte)* | Osvaldo | Rezende | Vila Carneiro* | Odilon Custódio Pereira e Outros | De Lourdes* | José Tomaz Rezende* | Daniel Fonseca (parte)* | Rezende Junqueira (parte)* | João de Sousa (parte)* | Granja Rezende | (continuação);https://web.archive.org/web/2/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf;https://web.archive.org/web/20240906061623/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf
Pacaembu;Norte;Pacaembu II | Pacaembu III | Bosque das Gameleiras | Vila Satélite* | Oliveira* | Vila Maria* | Vila Maria – Remanejamento* | Vila Roosevelt (parte);https://web.archive.org/web/2/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf;https://web.archive.org/web/20240906061623/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf
Pampulha;Sul;Pampulha* | Abílio Borges* | Setor da Vila Saraiva 5 – Antônio Saraiva Primo (parte);https://web.archive.org/web/2/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf;https://web.archive.org/web/20240906061623/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf
Panorama;Oeste;Chácaras Panorama | Chácaras Panorama I | Chácaras Panorama II | Jardim Célia | Jardim Maanaim | Congreção Cristã do Brasil | Condomínio Paineiras Residence (Reloteamento);https://web.archive.org/web/2/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf;https://web.archive.org/web/20240906061623/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf
Patrimônio;Sul;Copacabana (parte)* | Nossa Senhora da Abadia* | Copacabana Setor Omega | Chácaras Recreio* | Patrimônio da Nossa Senhora da Abadia (parte)** | Spazio Unigarden;https://web.archive.org/web/2/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf;https://web.archive.org/web/20240906061623/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf
Pequis;Oeste;Residencial Pequis 1 | Residencial Pequis 2 | Residencial Pequis 3 | Residencial Pequis 4 | Residencial Pequis 5 | Residencial Pequis 6 | Residencial Pequis 7 | Residencial Pequis 8 | Residencial Pequis 9;https://web.archive.org/web/2/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf;https://web.archive.org/web/20240906061623/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf
Planalto;Oeste;Planalto I (parte) | Núcleo Residencial Uberlândia (Tancredo Neves);https://web.archive.org/web/2/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf;https://web.archive.org/web/20240906061623/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf
Portal do Vale;Leste;Portal do Vale I | Portal do Vale II (parte) | Nascente do Vale;https://web.archive.org/web/2/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf;https://web.archive.org/web/20240906061623/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf
Presidente Roosevelt;Norte;Vila Presidente Roosevelt (parte) | Marivaldo Carrilho da Silva | Treviso | Presidente | Roosevelt;https://web.archive.org/web/2/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf;https://web.archive.org/web/20240906061623/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf
Residencial Gramado;Norte;;https://web.archive.org/web/2/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf;https://web.archive.org/web/20240906061623/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf
Residencial Integração;Leste;Jardim Sucupira | Portal do Vale II (parte) | Jardim Prosperidade (irregular)* | Jardim Prosperidade - Prolongamento (irregular)* | Jardim Prosperidade II (irregular)* | Prosperidade II (irregular)* | Residencial Dom Almir (irregular) | Residencial Dom Almir – Prolongamento (irregular)* | Joana D’arc II (irregular) | Integração (irregular) | Residencial | Integração;https://web.archive.org/web/2/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf;https://web.archive.org/web/20240906061623/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf
Santa Luzia;Sul;Santa Mônica – Remanejamento – Setor Chácaras e Mansões | Dos buritis (parte);https://web.archive.org/web/2/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf;https://web.archive.org/web/20240906061623/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf
Santa Mônica;Leste;Santa Mônica – Setor A | Santa Mônica - Setor B | Santa Mônica – Setor C (parte) | Jardim Finotti I | Jardim Finotti II* | Jardim Parque do Sabiá (parte) | Progresso* | Progresso I ** | Vila Santos Dumont* | Santos Dumont – Prolongamento | Fábio Felice | Conjunto Universitário | (continuação) | Eduardo Rende (parte) | Eurípedes Ângelo Lozano e Outros;https://web.archive.org/web/2/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf;https://web.archive.org/web/20240906061623/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf
Santa Rosa;Norte;Jardim América I (parte) | Jardim América II | Nossa Senhora das Graças (parte) | Esperança | Esperança II | Residencial Liberdade | Santa Rosa - Prolongamento | Esperança III (Irregular )*;https://web.archive.org/web/2/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf;https://web.archive.org/web/20240906061623/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf
São Jorge;Sul;Conjunto Residencial Viviane | Parque São Jorge I (parte) | Parque São Jorge III – Prolongamento | Parque São Jorge V | Jardim das Hortências | Parque das Seringueiras | Parque São Gabriel | Residencial Campo Alegre | Fonseca e Freitas Comercial Construtora;https://web.archive.org/web/2/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf;https://web.archive.org/web/20240906061623/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf
São José;Norte;;https://web.archive.org/web/2/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf;https://web.archive.org/web/20240906061623/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf
Saraiva;Sul;Cazeca (parte) * | Santa Maria | Vila Belo Horizonte * | Vila Presidente Vargas * | Vila Dr. Vasco Gifone (parte)* | Jardim Ozanam (parte) | (continuação) | Vila Saraiva III – Tubal Vilela da Silva (parte)* | Manoel Rosa*;https://web.archive.org/web/2/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf;https://web.archive.org/web/20240906061623/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf
Segismundo Pereira;Leste;Santa Mônica – Setor C (parte) | Santa Mônica – Setor D | Santa Paula Loteadora – Segismundo Pereira;https://web.archive.org/web/2/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf;https://web.archive.org/web/20240906061623/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf
Shopping Park;Sul;Sítios de Recreio Nossa Senhora Aparecida (parte) | Sitios de Recreio Ibiporan – Conjuntos B, C e D | Shopping Park I | Shopping Park II | Shopping Park III | Shopping Park IV | Shopping Park V | Shopping Park VI | Shopping Park VII | Parque dos Jacarandás I | Parque dos Jacarandás II | Parque dos Ipês | Parque dos Ypês II | Gávea Sul | Residencial Jardins | Varanda Sul;https://web.archive.org/web/2/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf;https://web.archive.org/web/20240906061623/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf
Tabajaras;Central;Tabajaras* | Vila Osvaldo (parte)* | General Osório I | Copacabana (parte)* | Maracanã | General Osório II | Altamira I (parte) | Jardim Altamira – Altamira II (parte) | Heins Lehfeld;https://web.archive.org/web/2/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf;https://web.archive.org/web/20240906061623/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf
Taiaman;Oeste;Taiaman – Prolongamento | Novo Taiaman | Novo Taiaman II | Residencial Aruanan | Jardim Letícia | Jaguara | Jaguara IV | Dona Zulmira (parte)* | João Gomide de Souza;https://web.archive.org/web/2/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf;https://web.archive.org/web/20240906061623/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf
Tibery;Leste;Vila Ana Angélica | Vila Corrêa | Eduardo Rende (parte) | Tibery (parte)* | Jardim Parque Sabiá (parte);https://web.archive.org/web/2/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf;https://web.archive.org/web/20240906061623/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf
Tocantins;Oeste;Tocantins - Prolongamento | Talismã;https://web.archive.org/web/2/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf;https://web.archive.org/web/20240906061623/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf
Tubalina;Sul;Vila Cilene (parte)* | Tubalina – Setor Colônia (parte)* | Imobiliária Tubal Vilela - Tubalina;https://web.archive.org/web/2/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf;https://web.archive.org/web/20240906061623/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf
Umuarama;Leste;Jardim Umuarama (parte) | Vila Brasil (parte)* | Novo Horizonte (parte)* | Granjas Reunidas Rosa Maria*;https://web.archive.org/web/2/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf;https://web.archive.org/web/20240906061623/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf
Vigilato Pereira;Sul;Vila Dr. Vasco Gifone (parte)* | Vila Póvoa (parte)* | Vila Saraiva III – Tubal Vilela da Silva (parte)* | Vila Saraiva – Trecho – Corina Silva e David Silva | Jardim Nosso Recanto | Vila Saraiva I – Milton Avelino * | Jardim Altamira – Altamira II (parte);https://web.archive.org/web/2/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf;https://web.archive.org/web/20240906061623/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf
