bairro;setor_territorial;loteamentos;fonte;snapshot
Custódio Pereira;Leste;Custódio Pereira (parte)* | Tibery (parte)* | Jardim Panorama (não Implantado) | Realiza Engenharia e Construção;https://web.archive.org/web/2/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf;https://web.archive.org/web/20240906061623/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf
Daniel Fonseca;Central;Daniel Fonseca (parte)* | João de Sousa (parte)* | Chaves | Rezende Junqueira (parte)*;https://web.archive.org/web/2/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf;https://web.archive.org/web/20240906061623/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf
Distrito Industrial;Norte;Companhia de Distritos Industriais – Setor Sul 1ª Etapa | Industrial | Companhia de Distritos Industriais – Setor Sul 2ª Etapa | Companhia de Distritos Industriais – Setor Sul 3ª | Etapa** | Companhia de Distritos Industriais – Setor Sul 4ª Etapa | Companhia de Distritos Industriais – Setor Norte 1ª | Companhia de Distritos Industriais – Setor Norte 2ª | Custódio | Pereira11 | Companhia de Distritos Industriais – Setor Norte 3ª | Etapa | Companhia de Distritos Industriais – Setor Norte 4ª | Companhia de Distritos Industriais – Setor Norte 5ª | Companhia de Distritos Industriais – Setor Norte 6ª | Empresarial Taiaman;https://web.archive.org/web/2/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf;https://web.archive.org/web/20240906061623/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf
Dona Zulmira;Oeste;Jardim Patrícia (parte) | Jardim Patrícia II (parte) | Parque dos Eucaliptos (parte) | Dona Zulmira (parte)* | Aluízio de Avelar Marques (parte)**;https://web.archive.org/web/2/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf;https://web.archive.org/web/20240906061623/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf
Fundinho;Central;;https://web.archive.org/web/2/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf;https://web.archive.org/web/20240906061623/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf
Gávea;Sul;Vale dos Vinhedos | Pólo Tecnológico | Gávea Paradiso e Solares da Gávea | Gávea Shopping | Epázio Único | Sítios de Recreio Ibiporan* | Sítios de Recreio Nossa Senhora Aparecida (parte) | Shopping Sul | Tamboré Uberlândia;https://web.archive.org/web/2/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf;https://web.archive.org/web/20240906061623/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf
Granada;Sul;Jardim Botânico II (parte) | Parque Granada | Distrito | Industrial | (continuação) | Jardim dos Gravatás | Parque Residencial do Camaru | Jardim Botânico | Dos Buritis (parte);https://web.archive.org/web/2/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf;https://web.archive.org/web/20240906061623/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf
Grand Ville;Leste;Grand Ville Uberlândia | Praça Alto Umuarama | Raros Alto Umuarama;https://web.archive.org/web/2/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf;https://web.archive.org/web/20240906061623/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf
Granja Marileusa;Leste;Granja Marileusa Fase 1A | Paradiso | Alfhaville Uberlândia | Alfhaville Uberlândia 2 | Terras Alpha Uberlândia | Jardim Umuarama (parte) | Sol Nascente;https://web.archive.org/web/2/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf;https://web.archive.org/web/20240906061623/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf
Guarani;Oeste;Parque Guarani I | Parque Guarani II | Parque Guarani III | Parque Guarani IV;https://web.archive.org/web/2/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf;https://web.archive.org/web/20240906061623/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf
