grupo;id;url_fonte;bairro;area_total_m2;valor_anunciado
11;guinz-784;https://www.guinzaimoveis.com.br/imovel/terreno-lote-em-condominio-a-venda-5350m2-shopping-park-uberlandia-mg-id-784;Shopping Park;5350;3210000
11;zapim-2895652593;https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-shopping-park-uberlandia-mg-5337m2-id-2895652593/;Shopping Park;5350,19;3210000
11;vivar-2895652593;https://www.vivareal.com.br/imovel/lote-terreno-shopping-park-bairros-uberlandia-5337m2-venda-RS3210000-id-2895652593/;Shopping Park;5350,19;3210000
12;delta-47344;https://www.deltaimoveis.com.br/comprar/Uberlandia/Area/Padrao/Shopping-Park/47344;Shopping Park;6044;1600000
12;zapim-2856737462;https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-shopping-park-uberlandia-mg-6000m2-id-2856737462/;Shopping Park;6000;1600000
12;vivar-2856737462;https://www.vivareal.com.br/imovel/lote-terreno-shopping-park-bairros-uberlandia-6000m2-venda-RS1600000-id-2856737462/;Shopping Park;6000;1600000
13;delta-48287;https://www.deltaimoveis.com.br/comprar/Uberlandia/Area/Padrao/Chacaras-Tubalina-E-Quartel/48287;Chacaras Tubalina E Quartel;11461,51;11461510
13;ivann-82189;https://www.ivannegocios.com.br/comprar/Uberlandia/Terreno/Area/Chacaras-Tubalina-e-Quartel/82189;Chácaras Tubalina e Quartel;11392;5250000
14;delta-48397;https://www.deltaimoveis.com.br/comprar/Uberlandia/Terreno/Padrao/Chacaras-Tubalina-E-Quartel/48397;Chácaras Tubalina E Quartel;5355;2500000
14;ivann-79576;https://www.ivannegocios.com.br/comprar/Uberlandia/Terreno/Area/Chacaras-Tubalina/79576;Chácaras Tubalina E Quartel;5355;2500000
14;zapim-2872964332;https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-chacaras-tubalina-e-quartel-uberlandia-mg-5355m2-id-2872964332/;Chácaras Tubalina E Quartel;5355;2500000
14;zapim-2883050287;https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-chacaras-tubalina-e-quartel-uberlandia-mg-5355m2-id-2883050287/;Chácaras Tubalina E Quartel;5355;2500000
14;zapim-2889601351;https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-chacaras-tubalina-e-quartel-uberlandia-mg-5355m2-id-2889601351/;Chácaras Tubalina E Quartel;5355;2500000
14;vivar-2872964332;https://www.vivareal.com.br/imovel/lote-terreno-chacaras-tubalina-e-quartel-bairros-uberlandia-5355m2-venda-RS2500000-id-2872964332/;Chácaras Tubalina E Quartel;5355;2500000
14;vivar-2883050287;https://www.vivareal.com.br/imovel/lote-terreno-chacaras-tubalina-e-quartel-bairros-uberlandia-5355m2-venda-RS2500000-id-2883050287/;Chácaras Tubalina E Quartel;5355;2500000
14;vivar-2889601351;https://www.vivareal.com.br/imovel/lote-terreno-chacaras-tubalina-e-quartel-bairros-uberlandia-5355m2-venda-RS2500000-id-2889601351/;Chácaras Tubalina E Quartel;5355;2500000
15;delta-48582;https://www.deltaimoveis.com.br/comprar/Uberlandia/Terreno/Padrao/Mansoes-Aeroporto/48582;Mansões Aeroporto;5078,25;1800000
15;zapim-2714355310;https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-mansoes-aeroporto-uberlandia-mg-5000m2-id-2714355310/;Mansões Aeroporto;5000;1590000
15;zapim-2754957419;https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-mansoes-aeroporto-uberlandia-mg-5000m2-id-2754957419/;Mansões Aeroporto;5000;1650000
15;zapim-2872960839;https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-mansoes-aeroporto-uberlandia-mg-5078m2-id-2872960839/;Mansões Aeroporto;5078;1800000
15;zapim-2879977522;https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-mansoes-aeroporto-uberlandia-mg-5000m2-id-2879977522/;Mansões Aeroporto;5000;1500000
