fetched_at;url;final_url;http_status;bytes;robots;arquivo;erro
2026-07-29T03:04:33+00:00;https://www.deltaimoveis.com.br/comprar/Uberlandia/Area/Padrao/Chacaras-Tubalina-E-Quartel/36982;https://www.deltaimoveis.com.br/comprar/Uberlandia/Area/Padrao/Chacaras-Tubalina-E-Quartel/36982;200;153869;ok (robots 200);raw/www.deltaimoveis.com.br/delta_det_36982_715fee8f.html;
2026-07-29T03:04:36+00:00;https://www.deltaimoveis.com.br/comprar/Uberlandia/Area/Padrao/Chacaras-Tubalina-E-Quartel/24594;https://www.deltaimoveis.com.br/comprar/Uberlandia/Area/Padrao/Chacaras-Tubalina-E-Quartel/24594;200;147858;ok (robots 200);raw/www.deltaimoveis.com.br/delta_det_24594_35b391bb.html;
2026-07-29T03:04:39+00:00;https://www.deltaimoveis.com.br/comprar/Uberlandia/Area/Padrao/Chacaras-Uirapuru/42897;https://www.deltaimoveis.com.br/comprar/Uberlandia/Area/Padrao/Chacaras-Uirapuru/42897;200;134508;ok (robots 200);raw/www.deltaimoveis.com.br/delta_det_42897_4df812fd.html;
2026-07-29T03:04:42+00:00;https://www.deltaimoveis.com.br/comprar/Uberlandia/Area/Padrao/Chacaras-Uirapuru/42896;https://www.deltaimoveis.com.br/comprar/Uberlandia/Area/Padrao/Chacaras-Uirapuru/42896;200;128260;ok (robots 200);raw/www.deltaimoveis.com.br/delta_det_42896_54c2791e.html;
2026-07-29T03:04:46+00:00;https://www.deltaimoveis.com.br/comprar/Uberlandia/Area/Padrao/Chacaras-Uirapuru/42892;https://www.deltaimoveis.com.br/comprar/Uberlandia/Area/Padrao/Chacaras-Uirapuru/42892;200;130793;ok (robots 200);raw/www.deltaimoveis.com.br/delta_det_42892_3cbe00b2.html;
2026-07-29T03:04:51+00:00;https://www.deltaimoveis.com.br/comprar/Uberlandia/Area/Padrao/Zona-Rural-De-Uberlandia/7958;https://www.deltaimoveis.com.br/comprar/Uberlandia/Area/Padrao/Zona-Rural-De-Uberlandia/7958;200;138664;ok (robots 200);raw/www.deltaimoveis.com.br/delta_det_7958_919c67d6.html;
2026-07-29T03:04:54+00:00;https://www.deltaimoveis.com.br/comprar/Uberlandia/Area/Padrao/Shopping-Park/47344;https://www.deltaimoveis.com.br/comprar/Uberlandia/Area/Padrao/Shopping-Park/47344;200;131752;ok (robots 200);raw/www.deltaimoveis.com.br/delta_det_47344_42def667.html;
2026-07-29T03:04:57+00:00;https://www.deltaimoveis.com.br/comprar/Uberlandia/Area/Padrao/Chacaras-Tubalina-E-Quartel/40640;https://www.deltaimoveis.com.br/comprar/Uberlandia/Area/Padrao/Chacaras-Tubalina-E-Quartel/40640;200;137193;ok (robots 200);raw/www.deltaimoveis.com.br/delta_det_40640_4d454949.html;
2026-07-29T03:05:00+00:00;https://www.deltaimoveis.com.br/comprar/Uberlandia/Area/Padrao/Chacaras-Tubalina-E-Quartel/33862;https://www.deltaimoveis.com.br/comprar/Uberlandia/Area/Padrao/Chacaras-Tubalina-E-Quartel/33862;200;143667;ok (robots 200);raw/www.deltaimoveis.com.br/delta_det_33862_a5cc9106.html;
2026-07-29T03:05:05+00:00;https://www.deltaimoveis.com.br/comprar/Uberlandia/Area/Padrao/Chacaras-Tubalina-E-Quartel/22207;https://www.deltaimoveis.com.br/comprar/Uberlandia/Area/Padrao/Chacaras-Tubalina-E-Quartel/22207;200;140286;ok (robots 200);raw/www.deltaimoveis.com.br/delta_det_22207_930c8d0b.html;
