url;motivo
https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-com-cozinha-residencial-fruta-do-conde-uberlandia-mg-9070m2-id-2636401318/;area da descricao (10216.38) diverge da declarada no titulo/URL (9070.0)
https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-com-churrasqueira-grand-ville-uberlandia-mg-275000m2-id-2896472780/;area da descricao (275.0) diverge da declarada no titulo/URL (275000.0)
https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-jardim-colina-uberlandia-mg-455000m2-id-2897568475/;area da descricao (464.65) diverge da declarada no titulo/URL (455000.0)
https://www.vivareal.com.br/imovel/lote-terreno-chacara-represa-de-miranda-bairros-uberlandia-24200m2-venda-RS1000000-id-2699900820/;metragens multiplas na descricao sem ancora: [4100.0, 18100.0, 24200.0]
https://www.vivareal.com.br/imovel/lote-terreno-tubalina-bairros-uberlandia-5220m2-venda-RS2610000-id-2829595716/;metragens multiplas na descricao sem ancora: [100.0, 5220.0]
https://www.vivareal.com.br/imovel/lote-terreno-area-rural-de-uberlandia-bairros-uberlandia-12000m2-venda-RS800000-id-2831649817/;metragens multiplas na descricao sem ancora: [10000.0, 12000.0]
https://www.vivareal.com.br/imovel/lote-terreno-distrito-industrial-bairros-uberlandia-5778m2-venda-RS25000000-id-2853262721/;metragens multiplas na descricao sem ancora: [5778.0, 35495.0]
https://www.vivareal.com.br/imovel/lote-terreno-chacaras-bonanza-bairros-uberlandia-13560m2-venda-RS1500000-id-2886910285/;metragens multiplas na descricao sem ancora: [100.0, 13560.0]
